close,RpC_REPEATED_CONDITIONAL_TEST d78485a3ca5320f5796e0a3bee435928558e888b src/java/org/apache/nutch/scoring/webgraph/WebGraph.java 382 382
close,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR c6b2e897f05eec5de4e5c56cd93bc11b6adbc02e src/main/java/org/apache/commons/imaging/formats/jpeg/segments/ComSegment.java 35 35
close,EI_EXPOSE_REP f792b2eff207072760b10473932657879b7f8af1 src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java 323 323
close,UC_USELESS_CONDITION 8e9ddc7fda8934b4e9376bc7cff0271e7c35ab7a src/main/java/org/apache/commons/imaging/formats/png/chunks/PngChunkItxt.java 69 69
close,EI_EXPOSE_REP2 9ddad4b1ed76b8f405098f4220ff21bed05acecc src/main/java/org/apache/commons/imaging/formats/psd/PsdHeaderInfo.java 34 34
close,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION dcbbb147ec67c3dcb400fe47b6fe245a0e2bf040 src/java/org/apache/nutch/net/URLFilterChecker.java 108 132
close,DCN_NULLPOINTER_EXCEPTION eed8a7adb3de7441751e846f4a75d110dd205f23 src/test/java/org/apache/commons/collections4/multimap/AbstractMultiValuedMapTest.java 599 599
close,NM_CONFUSING 3760425321d2c42355805a806f59768dc225563b src/main/java/org/apache/commons/imaging/common/BinaryFileParser.java 141 141
close,DE_MIGHT_IGNORE fa94bbb537421401a6c3fc19ae376e90bd50e69e src/java/org/apache/nutch/util/MimeUtil.java 183 183
close,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION 11eca16f4a8b2e22c7271cae1fe9f23608bfb98e src/test/java/org/apache/commons/collections4/keyvalue/MultiKeyTest.java 50 51
close,UWF_UNWRITTEN_FIELD 28aef7489af2f7c2452ae03426fe05427d9144e7 src/main/java/org/apache/maven/plugin/dependency/AnalyzeMojo.java 100 100
close,PZLA_PREFER_ZERO_LENGTH_ARRAYS 5b7b44724b2aadde6d23f827c7d4aec383e3a1cf src/main/java/org/apache/commons/imaging/formats/wbmp/WbmpImageParser.java 100 100
close,EI_EXPOSE_REP2 09f80c34d40bbe58754293bca0b981a740cda9f1 src/main/java/org/apache/commons/imaging/formats/jpeg/iptc/IptcBlock.java 30 30
close,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION 1dcb7bc41ebb7cdb24d2333835398eb37aab3e5a src/java/org/apache/nutch/tools/CrawlDBScanner.java 91 140
close,MF_CLASS_MASKS_FIELD de601ea3c3e2b880229755b502f0b24c83d2b942 src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/AbstractFromConfigurationMojo.java -1 -1
close,DLS_DEAD_LOCAL_STORE a0770c6286241339684f403bcbc440a97218caf8 src/main/java/org/apache/maven/plugin/dependency/utils/translators/ClassifierTypeTranslator.java 59 59
open,PZLA_PREFER_ZERO_LENGTH_ARRAYS 13e223cfa53e91e6c852a400e362466eb11f8ce7 src/main/java/org/apache/commons/imaging/formats/gif/GifImageParser.java 510 510
close,URF_UNREAD_FIELD bba335ef8dbbe4017784eba416085285d449f84f src/java/org/apache/nutch/tools/proxy/SegmentHandler.java 105 105
close,DE_MIGHT_IGNORE 37dd278fdbf470e31e7292b788439c45c700a197 src/main/java/org/apache/commons/imaging/formats/jpeg/xmp/JpegRewriter.java 329 329
close,UC_USELESS_CONDITION 47c7410405e9b0989ed3d0dbed4740528ef006cd src/main/java/org/apache/maven/plugin/dependency/GetMojo.java 170 170
close,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION 11eca16f4a8b2e22c7271cae1fe9f23608bfb98e src/test/java/org/apache/commons/collections4/keyvalue/MultiKeyTest.java 45 46
close,DM_DEFAULT_ENCODING fdaf56e48c90d5ade2c950a963b57a79ccefdc71 src/main/java/org/apache/commons/imaging/formats/png/ChunkType.java 87 87
close,DLS_DEAD_LOCAL_STORE bba335ef8dbbe4017784eba416085285d449f84f src/java/org/apache/nutch/fetcher/OldFetcher.java 63 63
close,EI_EXPOSE_REP c6b2e897f05eec5de4e5c56cd93bc11b6adbc02e src/main/java/org/apache/commons/imaging/formats/jpeg/segments/ComSegment.java 48 48
close,REC_CATCH_EXCEPTION 7ca68d4a1fbe1a1b55bdad3f641d35551f270995 src/java/org/apache/nutch/scoring/webgraph/NodeDumper.java 273 273
close,WMI_WRONG_MAP_ITERATOR e2598d63743c84ca0293c17d159f3fe334d301f0 src/java/org/apache/nutch/parse/HTMLMetaTags.java 194 194
close,MS_MUTABLE_ARRAY 1542b7fcd99713d23269a10166b5c5a39257be23 src/main/java/org/apache/commons/imaging/formats/tiff/constants/GpsTagConstants.java 36 36
open,UC_USELESS_CONDITION 0522b37f453811962c61c7bb99c82862a04e4fa0 src/java/org/apache/nutch/fetcher/Fetcher.java 950 950
open,UWF_UNWRITTEN_FIELD 07ab82df282de1a8dc6682cfcce88d54d8ffee29 src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java 190 190
open,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE 1852329d3efccd374057943f7772e15f3d0ca396 src/main/java/org/apache/maven/plugin/dependency/fromDependencies/BuildClasspathMojo.java 332 332
open,DCN_NULLPOINTER_EXCEPTION 75c8ade02e53bcf18ad85ed96586ad55d4fa9706 src/test/java/org/apache/commons/collections4/bag/TreeBagTest.java 90 90
